Actual idiom,Literal Translation,English Pronounciation,English_Translation,Human Annotation & With descriptions,Image_ID
नजरबंद करना,To put under house arrest,Nazarband Karna,to put into jail,"The Hindi idiom 'नजरबंद करना' translates to 'to put under house arrest' in English. It means to confine someone to their home or a specific place, restricting their freedom of movement. This is often done for security or political reasons. An image representing this idiom could depict a person standing by a window, looking out with a sense of longing or frustration, while the surroundings suggest confinement, such as barred windows or a locked door.",678.png
नमक हलाल करना,To be loyal to the salt (be loyal),Namak Halaal Karna,return a favor,"The Hindi idiom 'नमक हलाल करना' translates to ""to be loyal or faithful to one's duty or benefactor."" It originates from the idea of being true to the salt one has consumed, symbolizing loyalty and gratitude. An image representing this idiom could depict a person diligently working or showing loyalty, perhaps with a subtle inclusion of salt to symbolize the essence of the idiom.",679.png
नमक का हक अदा करना,To pay the debt of salt (be faithful),Namak Ka Haq Ada Karna,"to pay, to repay, to repay a debt","The idiom 'नमक का हक अदा करना' translates to ""to repay the debt of salt"" in English. It means to show loyalty and gratitude towards someone who has provided you with sustenance or support. The phrase emphasizes the importance of being faithful and fulfilling one's obligations to those who have helped you. 

For an image based on this idiom, you might depict a person offering a gesture of thanks or service to another person who has provided them with food or support, symbolized by a salt shaker or salt in the background.",680.png
नाम उछालना,To throw up the name (defame),Naam Uchaalna,"To defame, to insult, to disrespect, to despise,","The Hindi idiom 'नाम उछालना' translates to ""tarnishing someone's reputation"" in English. It refers to the act of spreading negative information or rumors about someone, thereby damaging their good name and standing in society. An image representing this idiom could depict a person whispering malicious gossip to others, with the target individual looking distressed or upset in the background.",681.png
नाम डुबोना,To sink the name (bring disgrace),Naam Dubona,"Losing prestige, loss of glory, loss of influence,","The Hindi idiom 'नाम डुबोना' translates to 'to tarnish one's reputation' in English. It implies causing disgrace or bringing shame to oneself or one's family, often through dishonorable actions. An image representing this idiom could depict a person or a symbol of a family name sinking into water, surrounded by expressions of disappointment or disapproval from others.",682.png
नाव या नैया पार लगाना,To take the boat across (succeed),Naav/Naiya Paar Lagana,to succeed or achieve,"The idiom 'नाव या नैया पार लगाना' translates to ""to get the boat across"" in English. It signifies successfully overcoming a difficult situation or achieving a challenging goal. The imagery involves a boat or small vessel navigating through potentially turbulent waters to reach the safety of the shore, symbolizing triumph over adversity.",683.png
नीला-पीला होना,To turn blue-yellow (get angry/sick),Neela-Peela Hona,to be very angry,"The Hindi idiom 'नीला-पीला होना' translates to 'turning blue and yellow' in English. It is used to describe someone who is extremely angry or furious, often to the point of physical manifestation where their face might change color due to intense emotion. For an image representation, you could depict a person with a face showing exaggerated anger, possibly with a flushed or discolored complexion to symbolize the 'blue and yellow' aspect.",684.png
निजात पाना।,To get relief,Nijaat Paana,To get rid of a problem.,"The Hindi idiom 'निजात पाना' translates to 'to be free from' or 'to get rid of' in English. It signifies the act of liberating oneself from a burden, problem, or difficult situation. An image representing this idiom could depict a person breaking free from chains, escaping a cage, or shedding heavy weights, symbolizing the release from constraints or troubles.",685.png
नशा उतरना,Intoxication wears off,Nasha Utarna,work proud,"The Hindi idiom 'नशा उतरना' (nasha utarna) translates to ""the intoxication wears off"" in English. It metaphorically describes the process of coming back to reality after being in a state of excitement, delusion, or euphoria. This can refer to the literal sobering up from alcohol or drugs, or it can describe the realization and clarity that follows an intense emotional or psychological experience. For an image, you might depict a person transitioning from a state of euphoria or confusion to one of clarity and awareness, symbolizing the return to a more grounded and realistic state of mind.",686.png
नकेल हाथ में होना,To have the reins in hand (be in control),Nakel Haath Mein Hona,rights in every way,"The Hindi idiom 'नकेल हाथ में होना' translates to ""having the reins in hand"" in English. It signifies having control or authority over a situation or person. To generate an image based on this idiom, you could depict a person holding the reins of a horse, symbolizing control and direction. The imagery should convey a sense of leadership, command, and the ability to steer or guide effectively.",687.png
नसीब फूटना,Fate breaks (be unlucky),Naseeb Footna,bad luck,"The Hindi idiom 'नसीब फूटना' translates to ""bad luck"" or ""misfortune"" in English. It describes a situation where someone experiences a series of unfortunate events or continuous bad luck. An image representing this idiom could depict a person standing under a dark cloud, with rain pouring down on them while everything around them seems to be going wrong, symbolizing their streak of bad luck.",688.png
नाक के नीचे,Under the nose (in front of),Naak Ke Neeche,to be very close,"The Hindi idiom ""नाक के नीचे"" translates to ""under the nose"" in English. It is used to describe something that is happening right in front of someone, often without them noticing. The imagery for this idiom could include a person looking puzzled or oblivious while something significant occurs directly in front of them, symbolizing the idea that sometimes the most obvious things can go unnoticed.",689.png
नानी मर जाना,Grandmother dies (get into trouble),Nani Mar Jana,Pain,"The Hindi idiom 'नानी मर जाना' (Nani Mar Jana) translates to ""Grandmother has died"" in English. It is often used to describe a situation where someone is facing extreme difficulty or trouble, to the point where they feel overwhelmed or helpless. The imagery for this idiom could include a person looking distressed or overwhelmed, possibly with a symbolic representation of a grandmother to convey the depth of the trouble they are experiencing.",690.png
नाम कमाना,To earn a name (become famous),Naam Kamaana,gain fame,"The Hindi idiom 'नाम कमाना' translates to 'earning a name' in English. It signifies achieving fame, recognition, or a good reputation through one's actions, achievements, or qualities. An image representing this idiom could depict a person receiving an award, being applauded by a crowd, or having their name highlighted in lights or on a banner, symbolizing their earned respect and recognition.",691.png
नाक भौं चढ़ाना,To raise nose and eyebrows (show attitude),Naak Bhaun Chadhana,show hatred,"The Hindi idiom 'नाक भौं चढ़ाना' translates to 'raising one's nose and eyebrows' in English. It describes a facial expression that conveys disdain, disapproval, or arrogance. The image would typically depict a person with their nose slightly lifted and eyebrows raised, indicating a sense of superiority or contempt.",692.png
नाक पर मक्खी न बैठने देना,Not let a fly sit on the nose (be alert),Naak Par Makkhi Na Baithne Dena,Don't allow yourself to be judged,"The Hindi idiom 'नाक पर मक्खी न बैठने देना' translates to 'not letting a fly sit on one's nose' in English. It means being very alert, vigilant, and not tolerating any nonsense or disrespect. The imagery for this idiom could depict a person with a stern, attentive expression, possibly swatting away a fly from their nose, symbolizing their alertness and intolerance for any disturbance or disrespect.",693.png
नजर उतारना,To ward off the evil eye,Nazar Utaarna,To remove the effects of vision defects with the help of mantra etc.,"The Hindi idiom 'नजर उतारना' refers to the traditional practice of warding off the evil eye or negative energy from a person, often a child, by performing certain rituals. This is believed to protect the individual from harm or misfortune caused by envious or malevolent glances. The ritual may involve using items like salt, red chilies, or mustard seeds, and is often accompanied by specific gestures or chants.",694.png
नजर लगना,To get the evil eye,Nazar Lagna,someone's evil eye,"The Hindi idiom 'नजर लगना' (Nazar Lagna) refers to the concept of the ""evil eye"" or being affected by someone's envious or malevolent gaze. It is believed that when someone looks at another person or their possessions with jealousy or ill intent, it can bring bad luck or misfortune to the recipient. This concept is prevalent in many cultures and often involves protective measures like amulets or rituals to ward off the evil eye. 

For an image based on this idiom, you might depict a person or an object surrounded by a protective aura or charm, with an ominous eye in the background symbolizing the envious gaze.",695.png
नजर दौड़ाना,To run the eyes (scan),Nazar Daudana,look everywhere,"The Hindi idiom 'नजर दौड़ाना' translates to ""to glance quickly"" or ""to scan with one's eyes"" in English. It describes the action of looking around swiftly to take in the surroundings or to find something specific. This phrase often implies a quick, cursory look rather than a detailed examination. For an image representation, you might depict a person standing in a setting like a market or a room, with their eyes moving rapidly from one point to another, capturing the essence of a swift, sweeping glance.",696.png
नौ-दौ ग्यारह होना,To run away (disappear),Nau-Do Gyarah Hona,"To run away, to get lost, to abandon suddenly,","The Hindi idiom 'नौ-दौ ग्यारह होना' (Nau-dau gyarah hona) translates to ""nine-two become eleven"" in English. It is used to describe a situation where someone leaves quickly or escapes suddenly, often to avoid trouble or responsibility. The imagery for this idiom could depict a person hastily running away or disappearing from a scene, emphasizing the swiftness and urgency of their departure.",697.png
नींव डालना,To lay the foundation,Neev Daalna,start auspicious work,"The Hindi idiom 'नींव डालना' translates to 'laying the foundation' in English. It signifies the initial and crucial step in starting a project, task, or endeavor. The imagery associated with this idiom would typically include the beginning stages of construction, such as workers laying the first bricks or pouring the initial concrete for a building's foundation. This visual metaphor emphasizes the importance of a strong and stable beginning to ensure the success and stability of the entire project.",698.png
नीचा दिखाना,To show down (humiliate),Neecha Dikhana,"to insult, to censure, to dishonor","The Hindi idiom 'नीचा दिखाना' translates to ""to show someone down"" or ""to belittle someone"" in English. It refers to the act of making someone feel inferior or less important, often through words or actions that undermine their confidence or dignity. An image representing this idiom might depict one person standing tall and confident while another person appears smaller, looking dejected or humiliated, possibly with a gesture or expression that conveys condescension or superiority from the first person.",699.png
नोंक-झोंक होना,To have a squabble,Nonk-Jhonk Hona,"altercation, war of words, altercation, uproar","The Hindi idiom 'नोंक-झोंक होना' translates to 'having a tiff' or 'having a minor quarrel' in English. It describes a situation where two people engage in a light-hearted argument or playful banter, often without any serious conflict or ill feelings. The scene might depict two individuals, perhaps friends or family members, exchanging teasing remarks or engaging in a mild dispute, with expressions that suggest annoyance but also underlying affection or camaraderie.",700.png
नौकरी बजाना,To do a job (serve),Naukri Bajana,fulfill your responsibility,"The Hindi idiom 'नौकरी बजाना' translates to ""performing one's job"" or ""doing one's duty"" in English. It typically refers to someone diligently and responsibly carrying out their professional duties or tasks. An image representing this idiom could depict a person in a professional setting, such as an office or workplace, focused and engaged in their work, symbolizing dedication and responsibility.",701.png
नज़र चुराना,To avoid eye contact,Nazar Churaana,When someone avoids going in front of someone,"The Hindi idiom 'नज़र चुराना' translates to 'to avoid eye contact' or 'to dodge someone's gaze' in English. It typically implies that someone is trying to avoid being noticed or is feeling guilty or embarrassed about something. 

For an image representation, you might depict a person looking away or hiding their face, perhaps with a slightly guilty or anxious expression, while another person looks on, trying to make eye contact. The setting could be a social environment where interaction is expected, such as a classroom, office, or a social gathering.",702.png
नाक ऊँची होना,To have a high nose (be proud),Naak Oonchi Hona,rise in reputation,"The Hindi idiom 'नाक ऊँची होना' translates to 'to have a high nose' in English, which metaphorically means to be proud or to have a sense of superiority. An image representing this idiom could depict a person standing tall with their chin slightly raised and nose pointed upwards, exuding an air of confidence and pride. The background could include elements that signify success or achievement, such as trophies, medals, or a grand setting, to emphasize the person's elevated status and self-esteem.",703.png
नाक रहना,To have a nose (honor remains),Naak Rehna,Protecting one's honor:,"The Hindi idiom 'नाक रहना' translates to ""to save face"" or ""to maintain one's honor"" in English. It signifies the importance of preserving one's dignity, reputation, or social standing. An image representing this idiom could depict a person standing tall and proud, possibly in a challenging situation, symbolizing their effort to uphold their honor and respect in the eyes of others.",704.png
नादिरशाही हुक्म,Tyrannical order,Nadirshahi Hukm,arbitrary order,"The idiom 'नादिरशाही हुक्म' (Nadirshahi Hukm) refers to an extremely harsh or tyrannical order or command. It originates from the historical figure Nadir Shah, a Persian ruler known for his ruthless and authoritarian rule. The phrase is used to describe a decree or directive that is excessively severe, often issued without consideration for fairness or compassion. An image representing this idiom might depict a stern, authoritative figure issuing a harsh command, with an atmosphere of fear or oppression surrounding the scene.",705.png
नारद मुनि,Narad Muni (mischief-maker),Narad Muni,one who spreads news from here to there,"The idiom 'नारद मुनि' refers to the sage Narada, a divine sage in Hindu mythology known for his mischievous nature and his role as a messenger and troublemaker. He is often depicted with a musical instrument called the veena and is known for spreading news and gossip among gods and humans. The idiom typically implies someone who stirs up trouble or spreads rumors, often with a playful or cunning intent.",706.png
नदी-नाव संयोग,River-boat union (good match),Nadi-Naav Sanyog,chance encounter,"The idiom 'नदी-नाव संयोग' (Nadi-Nav Sanyog) translates to ""the meeting of the river and the boat"" in English. It signifies a rare or fortunate coincidence where two elements come together at the right time and place, often leading to a beneficial outcome. This imagery can be depicted by showing a serene river with a boat gently floating on it, symbolizing the harmonious and timely convergence of circumstances.",707.png
नसीब चमकना,Fortune shines,Naseeb Chamkana,"luck shines, luck shines","The idiom 'नसीब चमकना' translates to 'fortune shining' in English. It signifies a sudden turn of good luck or a significant improvement in one's circumstances. An image representing this idiom could depict a person experiencing a moment of unexpected success or happiness, with visual elements like a bright light or a shining star to symbolize the newfound fortune.",708.png
नेकी और पूछ-पूछ,Do good and ask about it (show off good deeds),Neki Aur Pooch-Pooch,There is no need to ask someone to do good without being asked.,"The Hindi idiom ""नेकी और पूछ-पूछ"" translates to ""Good deeds and asking for permission"" in English. It implies that when you are doing something good or kind, there is no need to seek approval or ask for permission. The essence of the idiom is that good deeds speak for themselves and should be done without hesitation or the need for validation.

For an image based on this idiom, you might depict a person helping another without any hesitation or a scene where someone is performing a kind act naturally and effortlessly, without seeking acknowledgment or approval from others.",709.png
नाक-कान काटना,To cut nose and ears (disgrace completely),Naak-Kaan Katna,to insult too much,"The Hindi idiom 'नाक-कान काटना' translates to 'cutting off the nose and ears' in English. It is used to describe a situation where someone is publicly humiliated or disgraced, often due to their own actions or failures. The imagery of cutting off the nose and ears symbolizes a severe loss of honor and respect.",710.png
नजर रखना,To keep an eye on,Nazar Rakhna,"take care, monitor","The Hindi idiom 'नजर रखना' translates to 'keep an eye on' in English. It means to watch over something or someone carefully, to monitor or supervise closely to ensure everything is going well or to prevent any problems. An image representing this idiom could depict a vigilant person observing a situation attentively, perhaps with a focused expression, or it could show an eye symbolizing careful observation.",711.png
नौबत आना,The turn comes (situation arises),Naubat Aana,when someone meets a loved one again by chance,"The Hindi idiom 'नौबत आना' translates to ""reaching a critical or dire situation"" in English. It implies that circumstances have become so severe or urgent that they demand immediate attention or action. An image representing this idiom could depict a person standing at the edge of a cliff, symbolizing the critical point they have reached, or a scene where an alarm is ringing, indicating an urgent situation.",712.png
नज़र पर चढ़ना,To rise in someone's eyes (become favorite),Nazar Par Chadna,"expression of desire, desire, liking","The Hindi idiom 'नज़र पर चढ़ना' translates to ""to catch someone's eye"" in English. It means to attract someone's attention or to become noticeable to someone, often in a way that leads to scrutiny or interest. For an image representation, you might depict a person standing out in a crowd, with a spotlight or a focused gaze from another person highlighting them.",713.png
नाच नचाना,To make someone dance (control),Naach Nachana,"to trouble, to stop, to restrict, to harass","The Hindi idiom 'नाच नचाना' (Naach Nachana) translates to ""making someone dance"" in English. It metaphorically means to control or manipulate someone to do things according to one's wishes, often without the other person's full awareness or consent. An image representing this idiom could depict a puppet master controlling marionettes, symbolizing the act of manipulation and control.",714.png
पल्ला झाड़ना,To shake off the hem (wash hands of responsibility),Palla Jhaadna,"to avoid, to get rid of, to get rid of","The Hindi idiom 'पल्ला झाड़ना' translates to ""shaking off the hem"" in English. It metaphorically means to shirk responsibility or to avoid taking blame for something. In a visual representation, you might depict a person brushing off or shaking the hem of their garment, symbolizing their attempt to distance themselves from a situation or responsibility.",715.png
पाँव तले से धरती खिसकना,Ground slips from under feet (be shocked),Paon Tale Se Dharti Khiskna,be extremely nervous,"The Hindi idiom 'पाँव तले से धरती खिसकना' translates to 'the ground slipping from under one's feet' in English. This idiom describes a situation where someone experiences a sudden shock or unexpected event that leaves them feeling unstable, disoriented, or in a state of disbelief. It conveys a sense of losing one's footing or foundation due to unforeseen circumstances. An image representing this idiom could depict a person standing on ground that is visibly cracking or shifting beneath their feet, with an expression of surprise or alarm on their face.",716.png
पत्ता कटना,Leaf gets cut (to be out of the game),Patta Katna,snatch someone's position,"The Hindi idiom 'पत्ता कटना' (patta katna) translates to ""the leaf being cut"" in English. It metaphorically means someone being excluded, eliminated, or removed from a group, situation, or activity. The imagery could involve a leaf being cut off from a tree or plant, symbolizing the act of separation or exclusion.",717.png
पर्दाफाश करना,To expose (unveil),Pardafash Karna,"to expose, to expose","The Hindi idiom 'पर्दाफाश करना' translates to ""lifting the veil"" or ""exposing the truth"" in English. It signifies the act of revealing hidden facts or uncovering secrets. An image representing this idiom could depict a person pulling back a curtain or veil to reveal something previously concealed, symbolizing the discovery or exposure of hidden information.",718.png
पानी का बुलबुला,Bubble of water (short-lived),Pani Ka Bulbula,"short-term, fleeting, for a while","The idiom 'पानी का बुलबुला' (Pani ka Bulbula) translates to 'a bubble in water' in English. It symbolizes something that is very temporary, fragile, and short-lived. Just like a bubble in water that appears for a moment and then bursts, this idiom is often used to describe fleeting moments, transient success, or ephemeral situations that do not last long.",719.png
पानी-पानी होना,To be water-water (to be embarrassed),Pani-Pani Hona,to be more embarrassed,"The Hindi idiom 'पानी-पानी होना' translates to 'to be extremely embarrassed' or 'to be ashamed' in English. It conveys a sense of feeling so embarrassed that one wishes to disappear or melt away like water. An image representing this idiom could depict a person blushing intensely, with their face turning red and perhaps melting or dissolving into water, symbolizing their overwhelming sense of shame or embarrassment.",720.png
परछाई से भी डरना,To be afraid even of one's own shadow,Parchhai Se Bhi Darna,very scared,"The idiom 'परछाई से भी डरना' translates to 'being afraid of even one's own shadow' in English. It describes a person who is extremely fearful or overly cautious, to the point of being scared of harmless or insignificant things. This idiom often highlights excessive paranoia or anxiety. An image representing this idiom might depict a person looking frightened or startled by their own shadow, emphasizing the irrational nature of their fear.",721.png
पत्थर का कलेजा,Heart of stone,Patthar Ka Kaleja,hard hearted person,"The Hindi idiom 'पत्थर का कलेजा' translates to 'a heart of stone' in English. It describes a person who is extremely unfeeling, unemotional, or insensitive. The imagery for this idiom could include a person with a literal stone where their heart should be, symbolizing their lack of compassion or empathy.",722.png
पत्थर की लकीर,Line on stone (unchangeable),Patthar Ki Lakeer,"sure thing, certain thing","The Hindi idiom 'पत्थर की लकीर' translates to 'a line on stone' in English. It signifies something that is unchangeable, permanent, or irrevocable. The imagery involves a line etched into a stone, symbolizing a decision, rule, or statement that is fixed and cannot be altered.",723.png
पर्दा उठना,Curtain rises (truth revealed),Parda Uthna,reveal someone's secrets,"The Hindi idiom 'पर्दा उठना' translates to 'the curtain rises' in English. It signifies the revelation of a hidden truth or the uncovering of a secret. The imagery associated with this idiom could include a stage with a curtain being drawn back to reveal what is behind it, symbolizing the moment of discovery or enlightenment.",724.png
पानी फेरना,To pour water (to ruin efforts),Pani Ferna,destroy or destroy,"The Hindi idiom 'पानी फेरना' translates to ""pouring water"" in English. It is used metaphorically to describe a situation where someone's efforts or plans are rendered useless or wasted. The imagery for this idiom could depict a person pouring water over something valuable or important, symbolizing the act of nullifying or spoiling the efforts or plans.",725.png
पारा उतरना,Mercury falls (anger cools down),Para Utarna,calm down anger,"The Hindi idiom 'पारा उतरना' translates to 'the mercury drops' in English. It metaphorically describes a situation where someone's anger or excitement has cooled down. Imagine an image of a thermometer with the mercury level dropping, symbolizing a decrease in temperature, which in this context represents a calming of emotions.",726.png
पारा चढ़ना,Mercury rises (anger rises),Para Chadhna,Getting angry,"The Hindi idiom 'पारा चढ़ना' translates to 'rising mercury' in English. It is used metaphorically to describe someone becoming very angry or agitated, similar to how mercury rises in a thermometer when the temperature increases. An image representing this idiom could depict a thermometer with mercury rising rapidly, alongside a person whose face is turning red with anger or frustration.",727.png
पेट का गहरा,Deep of the stomach (big eater),Pet Ka Gehraa,clinging to someone's body,"The Hindi idiom ""पेट का गहरा"" translates to ""deep as the stomach"" in English. It is often used to describe someone who is very secretive or has hidden depths, much like the stomach which holds and processes food out of sight. The imagery for this idiom could include a person with a thoughtful or mysterious expression, perhaps with a background that suggests depth or concealment, such as a dark, shadowy environment or a deep well.",728.png
पेट का हल्का,Light of the stomach (relieved),Pet Ka Halka,one who cannot hide anything from anyone,"The Hindi idiom 'पेट का हल्का' translates to 'light of stomach' in English. It is used to describe someone who is carefree, unburdened, or relieved, often after sharing a secret or confessing something that was weighing on their mind. The imagery for this idiom could include a person looking visibly relieved or happy, perhaps with a light or glowing aura around their stomach area, symbolizing the lifting of a burden.",729.png
पलकें बिछाना,To lay down eyelashes (welcome warmly),Palkein Bichana,to greet very respectfully,"The Hindi idiom 'पलकें बिछाना' translates to ""spreading eyelashes"" in English. It is used to describe a warm and heartfelt welcome, where someone goes out of their way to make another person feel comfortable and cherished. The imagery suggests an act of great care and tenderness, akin to laying down one's own eyelashes for someone to walk on, symbolizing utmost respect and affection.",730.png
पाँव धोकर पीना,To wash and drink feet (respect a lot),Paon Dhokar Peena,Service and Hospitality,"The Hindi idiom 'पाँव धोकर पीना' translates to ""to drink after washing someone's feet."" This phrase is used to express deep respect, reverence, or devotion towards someone. It implies that the person is so highly esteemed that one would metaphorically wash their feet and drink the water, symbolizing utmost humility and admiration.

For an image based on this idiom, you might depict a scene where an individual is shown washing the feet of another person, who is portrayed in a dignified and respected manner. The setting could be serene and respectful, emphasizing the act of reverence and humility.",731.png
पॉकेट गरम करना,To warm the pocket (bribe),Pocket Garam Karna,"to bribe, to bribe, to bribe","The Hindi idiom 'पॉकेट गरम करना' translates to 'to warm the pocket' in English. It refers to the act of bribing someone or giving money to influence their actions or decisions. An image representing this idiom could depict a hand slipping money into someone's pocket, symbolizing the act of bribery.",732.png
पीठ की खाल उधेड़ना,To flay the skin of the back (punish severely),Peeth Ki Khaal Udhedna,to punish,"The Hindi idiom 'पीठ की खाल उधेड़ना' translates to ""to flay the skin off someone's back"" in English. It metaphorically means to severely punish or criticize someone. An image representing this idiom could depict a person being harshly reprimanded or punished, possibly with an exaggerated visual of their back being metaphorically flayed, to emphasize the severity of the punishment or criticism.",733.png
पीठ ठोंकना,To pat the back,Peeth Thokna,Appreciate,The idiom 'पीठ ठोंकना' (Peeth Thokna) translates to 'patting the back' in English. It signifies praising or encouraging someone for their good work or achievements. The imagery involves a person gently patting another person's back as a gesture of appreciation and support.,734.png
पटरा कर देना,To flatten out,Patra Kar Dena,"to spoil, to destroy,","The Hindi idiom 'पटरा कर देना' translates to ""to flatten someone"" in English. It is often used metaphorically to describe a situation where someone is completely defeated, subdued, or rendered powerless. The imagery associated with this idiom could involve a person being metaphorically flattened or overpowered, symbolizing their loss or defeat.",735.png
पलकों पर बिठाना,To seat on the eyelids (to cherish),Palkon Par Bithana,very warm welcome,"The Hindi idiom 'पलकों पर बिठाना' translates to ""to seat someone on one's eyelids"" in English. It means to treat someone with great care, affection, and respect, often going out of one's way to make them feel special and cherished. An image representing this idiom could depict a person gently holding another person or a cherished object close to their eyes, symbolizing utmost care and tenderness.",736.png
प्राण हथेली पर लेना,To take life on the palm (risk everything),Pran Hatheli Par Lena,risking life,"The Hindi idiom 'प्राण हथेली पर लेना' translates to ""to take one's life in one's hands"" in English. It means to undertake a very risky or dangerous task, often with the possibility of severe consequences. The imagery involves a person holding their life delicately in their palm, symbolizing the extreme risk and the courage required to face such a situation.",737.png
प्राणों पर खेलना,To play with life (risk life),Pranon Par Khelna,risk one's life,"The Hindi idiom 'प्राणों पर खेलना' translates to ""to risk one's life"" in English. It describes a situation where someone takes extreme risks or engages in very dangerous activities, often putting their own life in jeopardy. An image representing this idiom could depict a person performing a daring and hazardous act, such as a tightrope walker balancing high above the ground without any safety measures, symbolizing the extreme risk involved.",738.png
पंख लगना,To grow wings (to become fast),Pankh Lagna,show signs of cleverness,"The Hindi idiom 'पंख लगना' translates to 'growing wings' in English. It is used to describe a situation where someone gains the ability, confidence, or freedom to achieve something they previously couldn't. It often implies newfound potential, opportunities, or empowerment.

For an image based on this idiom, you might depict a person or an object (like a book, idea, or dream) sprouting wings, symbolizing the newfound ability to soar or reach new heights. The wings could be vibrant and dynamic, suggesting energy and possibility.",739.png
पंथ निहारना/देखना,To look at the path (wait for someone),Panth Niharna/Dekhna,"to wait, to wait","The idiom 'पंथ निहारना/देखना' (Panth niharna/dekhna) translates to ""waiting eagerly for someone"" in English. It evokes the image of a person standing at a path or road, looking into the distance with anticipation and hope, waiting for someone special to arrive. The scene might include elements like a long, winding road, a person with an expectant expression, and perhaps a setting sun to indicate the passage of time.",740.png
पत्ता खड़कना,Leaf rustles (to make a move),Patta Khadakna,"to be suspicious, to be doubtful, to be doubtful","The Hindi idiom 'पत्ता खड़कना' (patta khadakna) translates to 'a leaf rustling' in English. It is often used to describe a situation where even the slightest movement or disturbance is noticed, indicating a heightened state of alertness or sensitivity. In a visual representation, you might depict a serene, quiet forest scene where a single leaf is rustling, drawing attention amidst the stillness.",741.png
पलक-पाँवड़े बिछाना,To lay out eyelids and feet (welcome warmly),Palk-Paavde Bichana,warm welcome,"The Hindi idiom 'पलक-पाँवड़े बिछाना' translates to 'spreading eyelashes and bedding' in English. It is used to describe a warm and enthusiastic welcome, where someone goes out of their way to make another person feel comfortable and honored. The imagery suggests an extreme level of hospitality, as if one is laying down their own eyelashes and bedding to create a soft, inviting space for the guest.",742.png
पलकों में रात बीतना,To spend the night on eyelids (sleepless night),Palkon Mein Raat Beetna,sleepless nights,"The idiom 'पलकों में रात बीतना' translates to ""spending the night on one's eyelids"" in English. It describes a situation where someone is unable to sleep due to worry, anxiety, or deep thoughts, and ends up staying awake all night. The imagery evokes a sense of restlessness and sleeplessness, with the night passing by as the person lies awake with open eyes.",743.png
पल्ला छुड़ाना,To shake off the hem (avoid responsibility),Palla Chhudana,"to be free, to get rid of","The Hindi idiom 'पल्ला छुड़ाना' translates to 'to shirk responsibility' or 'to evade a situation' in English. It describes a scenario where someone tries to avoid taking responsibility or getting involved in a difficult or undesirable situation. 

For an image representation, you might visualize a person trying to pull away or escape from a situation where others are trying to hold them accountable or involve them in a task. The imagery could include someone slipping out of another's grasp or turning away from a group of people who are seeking their help or involvement.",744.png
पल्ला पकड़ना,To hold the hem (seek refuge),Palla Pakadna,"taking shelter, taking shelter, being a shelter giver, taking shelter","The Hindi idiom 'पल्ला पकड़ना' translates to 'holding onto the edge of a garment' in English. It symbolizes seeking support, protection, or guidance from someone more powerful or knowledgeable. The imagery often involves a person grasping the end of another's garment, indicating reliance or dependence on that individual for help or direction.",745.png
पसीने की कमाई,Earning of sweat (hard-earned money),Paseene Ki Kamai,hard-earned cash,"The idiom 'पसीने की कमाई' translates to 'Earnings from sweat' in English. It signifies the hard-earned money or wealth that one acquires through diligent work and effort. The imagery often associated with this idiom includes a person engaged in laborious tasks, sweating under the sun or in a demanding environment, symbolizing the dedication and hard work put into earning an honest living.",746.png
पाँव पड़ना,To fall at feet (to beg),Paon Padna,be very polite,"The Hindi idiom 'पाँव पड़ना' translates to 'to touch someone's feet' in English. This phrase is often used to describe an act of showing deep respect, seeking blessings, or expressing humility towards someone, typically an elder or a person of high status. In a visual representation, you might depict a person bending down to touch the feet of another person, who is standing or sitting, symbolizing reverence and respect.",747.png
पाँवों में मेंहदी लगना,To have henna on feet (get married),Paon Mein Mehendi Lagna,unable to go anywhere,"The Hindi idiom 'पाँवों में मेंहदी लगना' (Paanvon mein mehndi lagna) translates to ""having henna applied on the feet."" This phrase is often used to describe someone who is about to embark on a journey or travel. Henna application is traditionally associated with celebrations and significant life events, so this idiom conveys a sense of excitement and anticipation for an upcoming trip or adventure. 

For an image based on this idiom, you might depict a pair of feet adorned with intricate henna designs, possibly with a background suggesting travel or a festive atmosphere.",748.png
पैरों में पर लगाना,To put wings on feet (move quickly),Pairon Mein Par Lagana,Getting involved in useless work.,"The Hindi idiom ""पैरों में पर लगाना"" translates to ""to put wings on one's feet"" in English. It means to move very quickly or to be extremely fast. The imagery suggests someone moving with the speed and agility of a bird in flight, emphasizing swiftness and rapid movement.

For an image based on this idiom, you could depict a person with wings attached to their feet, running or flying swiftly, perhaps with a blurred background to emphasize speed.",749.png
पाप का घड़ा भरना,Pot of sin fills (sins accumulate),Paap Ka Ghada Bharna,height of sin,"The Hindi idiom 'पाप का घड़ा भरना' translates to ""the pot of sins is filling up"" in English. It signifies that continuous wrongdoings or sinful actions accumulate over time, and eventually, there will be consequences or a moment of reckoning. An image representing this idiom could depict a pot gradually filling up with dark, ominous liquid or symbols of sins, suggesting an impending overflow or breaking point.",750.png
पार लगाना,To take across (to succeed),Paar Lagana,"rescue, save, save, rescue","The Hindi idiom 'पार लगाना' translates to ""to cross over"" or ""to help someone reach the other side."" It metaphorically means to help someone overcome difficulties or achieve success. An image representing this idiom could depict a person assisting another to cross a river or a challenging obstacle, symbolizing guidance, support, and overcoming challenges together.",751.png
